seq_name,score,cam_score,rot_err,trans_err,depth_score,depth_score_ss,depth_score_scale,status
corgi-snow-3,0.4851552823524345,0.9955795644891122,0.5350944973483761,0.0,0.4851552823524345,0.7345172211789952,0.4851552823524345,ok
corgi-snow,0.41994635948763714,0.9998358458961474,0.40642978483195735,0.0,0.41994635948763714,0.8130252209022147,0.41994635948763714,ok
cow-walking,0.5854628840966744,0.8851488852311835,1.5239205792130939,5.339530339106019,0.5854628840966744,0.6431156317698361,0.6310965479665444,ok
dog-rotation-vase,0.4150954773869347,0.4150954773869347,3.4098160425324076,24.88487261650309,0.444544483351823,0.7735485061750897,0.656611494652024,ok
dog-running,0.25158291457286436,0.25158291457286436,2.0320994195015296,41.89987542677234,0.6339323949248352,0.8085485821945924,0.6339323949248352,ok
elephant,0.7378327901277645,1.0,0.13115869487149692,0.0,0.7378327901277645,0.7927672333142842,0.7378327901277645,ok
hiking-follow-2,0.20590484517280344,0.6305092127303185,0.1505145405601161,14.055534413864343,0.20590484517280344,0.20590484517280344,0.5083741336841154,ok
hiking-follow,0.4563812794634903,0.951500837520938,0.7001778016122812,1.8928184577643186,0.4563812794634903,0.7481852544355342,0.4563812794634903,ok
horses-follow,0.46219544197866186,0.9122127303182579,0.2739816158818606,3.0785152088335335,0.46219544197866186,0.7526481976350153,0.46219544197866186,ok
horses-rotation,0.6320773950560286,0.8371172529313233,0.7644400078498841,5.229469280983117,0.6320773950560286,0.7415668972013424,0.6320773950560286,ok
kitten,0.7571342800796855,1.0,0.29175586048752106,0.0,0.7571342800796855,0.9689363596748213,0.9638386905016236,ok
lady-birds,0.47432211854946565,1.0,0.05343319168102998,0.0,0.47432211854946565,0.4871724422704447,0.47432211854946565,ok
lion,0.5000386649848616,0.9892445561139027,0.7542564556598707,0.0,0.5000386649848616,0.5000386649848616,0.501794313627997,ok
monkey,0.42542971498650684,0.9493835845896148,1.968814374003424,0.0,0.42542971498650684,0.6392980465696987,0.42542971498650684,ok
penguin,0.16896675765462665,0.16896675765462665,33.460914536464756,28.63896849507285,0.8219555356368379,0.8608153472412032,0.8219555356368379,ok
pigeon,0.18968509212730317,0.18968509212730317,20.402878984570833,31.546730947589552,0.6502238269230618,0.9093935172580785,0.8295810556148634,ok
pigeons,0.5115892079917634,0.9999078726968175,0.38393020427391705,0.0,0.5115892079917634,0.6214129894759916,0.5115892079917634,ok
prosthetic-swimmer,0.45992908801832705,0.8099899497487437,2.3082303142477034,6.768732248901772,0.45992908801832705,0.4671636854424558,0.45992908801832705,ok
prosthetic-wide-baseline,0.695052961650649,0.9524455611390287,0.8596655294088829,1.5843223286628214,0.695052961650649,0.8854811514582335,0.8586078528880505,ok
sea-lion,0.5643474680942079,1.0,0.17720211492487423,0.0,0.5643474680942079,0.7608822103201391,0.5643474680942079,ok
steps-street-pan,0.5151569914592348,0.815852596314908,0.638327041508915,5.983735158236622,0.5151569914592348,0.8479908234937872,0.5151569914592348,ok
tea-cup,0.8199384068150635,0.9095443886097152,0.551671684149228,2.84394426214181,0.8199384068150635,0.9665597357837822,0.9664759797234873,ok
turtle-eating,0.8476388464336571,0.8645494137353434,0.41406435607760406,4.515983240675975,0.8476388464336571,0.867398441668282,0.8643362825442846,ok
turtle-follow,0.48841549925713695,0.7703947889443258,2.4993818985005225,8.042785270116712,0.48841549925713695,0.48841549925713695,0.5014949690858012,ok
turtle-swim-away,0.4374807370184255,0.4374807370184255,0.6417016429060766,17.811736808114443,0.8147778158715642,0.9730233610983744,0.9103301460773822,ok
turtle,0.738053111031758,1.0,0.12360646863805118,0.0,0.738053111031758,0.8382981091960255,0.7892894469732743,ok
zebras,0.4208810720268007,0.4208810720268007,1.46719280923304,22.703121103104017,0.6776474006609897,0.8492944704786544,0.6776474006609897,ok
